shape,value
"POLYGON ((-99.85612244897959 30.14916326530612, -99.85387755102039 30.14916326530612, -99.85387755102039 30.158816326530612, -99.85612244897959 30.158816326530612, -99.85612244897959 30.14916326530612))",2.4635064260198042e-15
"POLYGON ((-99.85612244897959 30.158816326530612, -99.85387755102039 30.158816326530612, -99.85387755102039 30.168469387755103, -99.85612244897959 30.168469387755103, -99.85612244897959 30.158816326530612))",1.727019093657641e-14
"POLYGON ((-99.85612244897959 30.168469387755103, -99.85387755102039 30.168469387755103, -99.85387755102039 30.178122448979593, -99.85612244897959 30.178122448979593, -99.85612244897959 30.168469387755103))",9.27032456721358e-13
"POLYGON ((-99.85612244897959 30.178122448979593, -99.85387755102039 30.178122448979593, -99.85387755102039 30.187775510204084, -99.85612244897959 30.187775510204084, -99.85612244897959 30.178122448979593))",3.5899047547316375e-11
"POLYGON ((-99.85612244897959 30.187775510204084, -99.85387755102039 30.187775510204084, -99.85387755102039 30.197428571428567, -99.85612244897959 30.197428571428567, -99.85612244897959 30.187775510204084))",9.997937884334085e-10
"POLYGON ((-99.85612244897959 30.197428571428574, -99.85387755102039 30.197428571428574, -99.85387755102039 30.207081632653058, -99.85612244897959 30.207081632653058, -99.85612244897959 30.197428571428574))",2.0009020420036654e-8
"POLYGON ((-99.85612244897959 30.207081632653065, -99.85387755102039 30.207081632653065, -99.85387755102039 30.216734693877548, -99.85612244897959 30.216734693877548, -99.85612244897959 30.207081632653065))",2.8735105284197176e-7
"POLYGON ((-99.85612244897959 30.216734693877555, -99.85387755102039 30.216734693877555, -99.85387755102039 30.22638775510204, -99.85612244897959 30.22638775510204, -99.85612244897959 30.216734693877555))",2.9544300933890963e-6
"POLYGON ((-99.85612244897959 30.226387755102046, -99.85387755102039 30.226387755102046, -99.85387755102039 30.23604081632653, -99.85612244897959 30.23604081632653, -99.85612244897959 30.226387755102046))",2.1671634466663672e-5
"POLYGON ((-99.85612244897959 30.23604081632653, -99.85387755102039 30.23604081632653, -99.85387755102039 30.24569387755102, -99.85612244897959 30.24569387755102, -99.85612244897959 30.23604081632653))",0.00011285009634486148
"POLYGON ((-99.85612244897959 30.24569387755102, -99.85387755102039 30.24569387755102, -99.85387755102039 30.25534693877551, -99.85612244897959 30.25534693877551, -99.85612244897959 30.24569387755102))",0.00041442610067951796
"POLYGON ((-99.85612244897959 30.25534693877551, -99.85387755102039 30.25534693877551, -99.85387755102039 30.265, -99.85612244897959 30.265, -99.85612244897959 30.25534693877551))",0.0010649696908378856
"POLYGON ((-99.85612244897959 30.265, -99.85387755102039 30.265, -99.85387755102039 30.27465306122449, -99.85612244897959 30.27465306122449, -99.85612244897959 30.265))",0.0018999272840511268
"POLYGON ((-99.85612244897959 30.27465306122449, -99.85387755102039 30.27465306122449, -99.85387755102039 30.28430612244898, -99.85612244897959 30.28430612244898, -99.85612244897959 30.27465306122449))",0.0023386581262181886
"POLYGON ((-99.85612244897959 30.28430612244898, -99.85387755102039 30.28430612244898, -99.85387755102039 30.293959183673465, -99.85612244897959 30.293959183673465, -99.85612244897959 30.28430612244898))",0.0019812182362608233
"POLYGON ((-99.85612244897959 30.293959183673472, -99.85387755102039 30.293959183673472, -99.85387755102039 30.303612244897955, -99.85612244897959 30.303612244897955, -99.85612244897959 30.293959183673472))",0.0011574796972599099
"POLYGON ((-99.85612244897959 30.303612244897963, -99.85387755102039 30.303612244897963, -99.85387755102039 30.313265306122446, -99.85612244897959 30.313265306122446, -99.85612244897959 30.303612244897963))",0.00046908212394146273
