slip_pressure,probability,ID,det_slip_pressure
233.48887027078277,0.1,Fault1,589.89
233.51735211707688,0.101,Fault1,589.89
233.9664828546924,0.102,Fault1,589.89
234.31555745157218,0.103,Fault1,589.89
234.43145568336143,0.104,Fault1,589.89
235.1485823269866,0.105,Fault1,589.89
235.78741639823124,0.106,Fault1,589.89
237.7952264637509,0.107,Fault1,589.89
238.2408548283474,0.108,Fault1,589.89
238.87348870090088,0.109,Fault1,589.89
239.18520068168425,0.11,Fault1,589.89
239.5288699407783,0.111,Fault1,589.89
241.70232848194593,0.112,Fault1,589.89
242.17550555859273,0.113,Fault1,589.89
243.32627580366588,0.114,Fault1,589.89
245.56485945243227,0.115,Fault1,589.89
245.58676628028394,0.116,Fault1,589.89
246.41108463725433,0.117,Fault1,589.89
247.1142056407996,0.118,Fault1,589.89
247.63688580620456,0.119,Fault1,589.89
250.15307356550804,0.12,Fault1,589.89
250.2948584956521,0.121,Fault1,589.89
250.836847424393,0.122,Fault1,589.89
251.69951520807263,0.123,Fault1,589.89
252.70040635537808,0.124,Fault1,589.89
253.0177261399233,0.125,Fault1,589.89
253.1717996727086,0.126,Fault1,589.89
255.67971637658223,0.127,Fault1,589.89
255.91813167833416,0.128,Fault1,589.89
255.9471400380712,0.129,Fault1,589.89
258.05825378016345,0.13,Fault1,589.89
261.9429716279144,0.131,Fault1,589.89
262.1052091532399,0.132,Fault1,589.89
263.1456846253524,0.133,Fault1,589.89
263.3976544745264,0.134,Fault1,589.89
264.21049413656533,0.135,Fault1,589.89
265.1741575590422,0.136,Fault1,589.89
265.538136911937,0.137,Fault1,589.89
266.21337033607523,0.138,Fault1,589.89
266.42906596253226,0.139,Fault1,589.89
266.853727067034,0.14,Fault1,589.89
268.4713435400548,0.141,Fault1,589.89
268.66311613963825,0.142,Fault1,589.89
269.0766392319874,0.143,Fault1,589.89
269.99125867371595,0.144,Fault1,589.89
270.429408585614,0.145,Fault1,589.89
270.4480383839896,0.146,Fault1,589.89
275.70215658020857,0.147,Fault1,589.89
276.3030663398114,0.148,Fault1,589.89
276.60408898404467,0.149,Fault1,589.89
277.681548612326,0.15,Fault1,589.89
278.4202401275819,0.151,Fault1,589.89
280.2811889555895,0.152,Fault1,589.89
282.052490131879,0.153,Fault1,589.89
282.181078798365,0.154,Fault1,589.89
286.1493681395818,0.155,Fault1,589.89
289.12060922283325,0.156,Fault1,589.89
289.3956378035976,0.157,Fault1,589.89
290.44903844795664,0.158,Fault1,589.89
290.55332709665333,0.159,Fault1,589.89
293.2141484114697,0.16,Fault1,589.89
296.3030603008592,0.161,Fault1,589.89
297.31073630238564,0.162,Fault1,589.89
297.3260884681627,0.163,Fault1,589.89
297.33097647665585,0.164,Fault1,589.89
299.7894273451791,0.165,Fault1,589.89
299.83546644084976,0.166,Fault1,589.89
300.76699213716637,0.167,Fault1,589.89
301.3379687124735,0.168,Fault1,589.89
302.97879230013785,0.169,Fault1,589.89
303.3140522065594,0.17,Fault1,589.89
303.80684536642207,0.171,Fault1,589.89
304.36693634157194,0.172,Fault1,589.89
304.8432926081663,0.173,Fault1,589.89
306.7440082498006,0.174,Fault1,589.89
306.77544879600015,0.175,Fault1,589.89
307.4030257519596,0.176,Fault1,589.89
307.6362662707818,0.177,Fault1,589.89
308.3514380380262,0.178,Fault1,589.89
308.40989256444567,0.179,Fault1,589.89
309.399452625235,0.18,Fault1,589.89
311.36243939758873,0.181,Fault1,589.89
312.7424088376962,0.182,Fault1,589.89
313.12420124760985,0.183,Fault1,589.89
313.6173062998288,0.184,Fault1,589.89
314.81746503102573,0.185,Fault1,589.89
315.24912118729486,0.186,Fault1,589.89
317.65872335747866,0.187,Fault1,589.89
318.32110072225555,0.188,Fault1,589.89
318.7633834426982,0.189,Fault1,589.89
318.93769186098206,0.19,Fault1,589.89
319.7821559264694,0.191,Fault1,589.89
320.66810083138705,0.192,Fault1,589.89
321.05037340498706,0.193,Fault1,589.89
323.1799153100084,0.194,Fault1,589.89
323.6330217972249,0.195,Fault1,589.89
323.89494258483506,0.196,Fault1,589.89
325.9822595726665,0.197,Fault1,589.89
326.6852111597117,0.198,Fault1,589.89
327.87108740019266,0.199,Fault1,589.89
328.5653653034363,0.2,Fault1,589.89
329.3652475918203,0.201,Fault1,589.89
329.55647715593625,0.202,Fault1,589.89
329.8872878119798,0.203,Fault1,589.89
330.2867533450064,0.204,Fault1,589.89
330.6864001441455,0.205,Fault1,589.89
331.31576490008916,0.206,Fault1,589.89
331.67315942667034,0.207,Fault1,589.89
332.72842529899384,0.208,Fault1,589.89
338.48099492608355,0.209,Fault1,589.89
339.2278625546243,0.21,Fault1,589.89
340.20328679061686,0.211,Fault1,589.89
340.9913394187774,0.212,Fault1,589.89
342.22681247825756,0.213,Fault1,589.89
344.5396949962302,0.214,Fault1,589.89
345.8885094742139,0.215,Fault1,589.89
347.34587087827816,0.216,Fault1,589.89
347.9466226178879,0.217,Fault1,589.89
348.35460015609806,0.218,Fault1,589.89
348.918485414631,0.219,Fault1,589.89
349.9706421126226,0.22,Fault1,589.89
351.67826567384213,0.221,Fault1,589.89
352.91933005857015,0.222,Fault1,589.89
354.19695035574404,0.223,Fault1,589.89
354.46435328761976,0.224,Fault1,589.89
355.1462743430729,0.225,Fault1,589.89
356.0183908761385,0.226,Fault1,589.89
356.9349683820166,0.227,Fault1,589.89
357.7226812817182,0.228,Fault1,589.89
357.7849849730413,0.229,Fault1,589.89
358.0166271224415,0.23,Fault1,589.89
358.13189870825204,0.231,Fault1,589.89
360.1094334226918,0.232,Fault1,589.89
360.1422538670358,0.233,Fault1,589.89
363.3045369557854,0.234,Fault1,589.89
364.34593990577247,0.235,Fault1,589.89
364.38081781491496,0.236,Fault1,589.89
364.5893339262331,0.237,Fault1,589.89
366.80334575244797,0.238,Fault1,589.89
366.9014827111614,0.239,Fault1,589.89
367.2125098973128,0.24,Fault1,589.89
368.002847834442,0.241,Fault1,589.89
368.1835129256894,0.242,Fault1,589.89
368.56561710253567,0.243,Fault1,589.89
368.881200584664,0.244,Fault1,589.89
369.85538690931344,0.245,Fault1,589.89
372.72017378973095,0.246,Fault1,589.89
373.4340160645915,0.247,Fault1,589.89
374.22381020131917,0.248,Fault1,589.89
375.92340187275727,0.249,Fault1,589.89
376.2236387329545,0.25,Fault1,589.89
376.9497722616214,0.251,Fault1,589.89
378.43104690969955,0.252,Fault1,589.89
378.79418725146644,0.253,Fault1,589.89
379.1999068129226,0.254,Fault1,589.89
379.34346262075815,0.255,Fault1,589.89
379.9144997564893,0.256,Fault1,589.89
381.5702760454455,0.257,Fault1,589.89
382.7729185037967,0.258,Fault1,589.89
383.1116661971821,0.259,Fault1,589.89
383.63514771901237,0.26,Fault1,589.89
385.0746368286402,0.261,Fault1,589.89
386.45655054504414,0.262,Fault1,589.89
387.2303360338904,0.263,Fault1,589.89
388.39250235993046,0.264,Fault1,589.89
389.3428555431247,0.265,Fault1,589.89
390.827091762467,0.266,Fault1,589.89
391.41179235627715,0.267,Fault1,589.89
393.31361770592486,0.268,Fault1,589.89
393.6869929684264,0.269,Fault1,589.89
395.5740183671633,0.27,Fault1,589.89
396.1718697092666,0.271,Fault1,589.89
396.5554977566027,0.272,Fault1,589.89
398.49810865434284,0.273,Fault1,589.89
399.0900651289981,0.274,Fault1,589.89
401.56216257975956,0.275,Fault1,589.89
402.05545360069647,0.276,Fault1,589.89
403.604240445033,0.277,Fault1,589.89
404.2498090694767,0.278,Fault1,589.89
404.304223338813,0.279,Fault1,589.89
404.36199064478024,0.28,Fault1,589.89
404.9553665251299,0.281,Fault1,589.89
405.9706203520518,0.282,Fault1,589.89
406.26897514314743,0.283,Fault1,589.89
407.56752956459303,0.284,Fault1,589.89
408.6885516897439,0.285,Fault1,589.89
410.48086465974484,0.286,Fault1,589.89
410.7638086854546,0.287,Fault1,589.89
411.2249570896865,0.288,Fault1,589.89
413.1649382081493,0.289,Fault1,589.89
414.88793185999003,0.29,Fault1,589.89
415.3127274275742,0.291,Fault1,589.89
416.27758126251103,0.292,Fault1,589.89
416.91995395631017,0.293,Fault1,589.89
416.9681502716796,0.294,Fault1,589.89
417.5545074508936,0.295,Fault1,589.89
418.55109742178263,0.296,Fault1,589.89
418.66909784630565,0.297,Fault1,589.89
419.4121621881595,0.298,Fault1,589.89
421.92872068860953,0.299,Fault1,589.89
422.44051962219373,0.3,Fault1,589.89
422.7382178421233,0.301,Fault1,589.89
422.88340649176627,0.302,Fault1,589.89
422.8889843190971,0.303,Fault1,589.89
423.1660347001792,0.304,Fault1,589.89
423.7363119772166,0.305,Fault1,589.89
423.93990336886924,0.306,Fault1,589.89
424.079685965747,0.307,Fault1,589.89
424.1388097443426,0.308,Fault1,589.89
424.8943766357406,0.309,Fault1,589.89
426.6502327235063,0.31,Fault1,589.89
426.84497195969436,0.311,Fault1,589.89
427.08983594073794,0.312,Fault1,589.89
427.1238746696562,0.313,Fault1,589.89
427.1362101471799,0.314,Fault1,589.89
427.853120640734,0.315,Fault1,589.89
428.5070076880203,0.316,Fault1,589.89
431.0296333984205,0.317,Fault1,589.89
433.252532426508,0.318,Fault1,589.89
434.2533292595031,0.319,Fault1,589.89
434.7552469265977,0.32,Fault1,589.89
435.1055716959707,0.321,Fault1,589.89
435.83345922924923,0.322,Fault1,589.89
435.95195143532385,0.323,Fault1,589.89
437.5609971769305,0.324,Fault1,589.89
439.0582713833056,0.325,Fault1,589.89
440.6026607550937,0.326,Fault1,589.89
440.6621719553995,0.327,Fault1,589.89
442.0031832306825,0.328,Fault1,589.89
442.2365000194846,0.329,Fault1,589.89
443.2024256686085,0.33,Fault1,589.89
443.8014292666033,0.331,Fault1,589.89
445.30462754038456,0.332,Fault1,589.89
445.91741053195716,0.333,Fault1,589.89
446.4410830972035,0.334,Fault1,589.89
447.7879624870901,0.335,Fault1,589.89
447.98468881808304,0.336,Fault1,589.89
448.5221176014363,0.337,Fault1,589.89
450.1824657258596,0.338,Fault1,589.89
450.6445417824652,0.339,Fault1,589.89
450.7407494921382,0.34,Fault1,589.89
453.70718711704006,0.341,Fault1,589.89
454.7096452824076,0.342,Fault1,589.89
455.6529310423014,0.343,Fault1,589.89
455.6587060963912,0.344,Fault1,589.89
456.1238609545318,0.345,Fault1,589.89
456.49790175174263,0.346,Fault1,589.89
457.7957284821963,0.347,Fault1,589.89
457.96821219834476,0.348,Fault1,589.89
458.6653338108527,0.349,Fault1,589.89
458.8575993217396,0.35,Fault1,589.89
459.04249590824145,0.351,Fault1,589.89
460.7337150677765,0.352,Fault1,589.89
460.8920064833402,0.353,Fault1,589.89
463.18022772453565,0.354,Fault1,589.89
464.1850035375619,0.355,Fault1,589.89
464.50926003398905,0.356,Fault1,589.89
464.7986174787656,0.357,Fault1,589.89
465.53594188260394,0.358,Fault1,589.89
466.75890397284235,0.359,Fault1,589.89
468.15495579278496,0.36,Fault1,589.89
468.18207471786496,0.361,Fault1,589.89
468.9501225303209,0.362,Fault1,589.89
469.08308680290054,0.363,Fault1,589.89
469.375484818647,0.364,Fault1,589.89
469.74054296242906,0.365,Fault1,589.89
470.67344280870145,0.366,Fault1,589.89
472.4395077292048,0.367,Fault1,589.89
473.1621641669656,0.368,Fault1,589.89
474.73953501814856,0.369,Fault1,589.89
476.81106921458473,0.37,Fault1,589.89
477.8868661321518,0.371,Fault1,589.89
478.07113686055555,0.372,Fault1,589.89
480.2508136812704,0.373,Fault1,589.89
480.33278381209783,0.374,Fault1,589.89
480.80612548070224,0.375,Fault1,589.89
480.9139794465138,0.376,Fault1,589.89
481.32954596016634,0.377,Fault1,589.89
482.59772949216386,0.378,Fault1,589.89
483.8476080002536,0.379,Fault1,589.89
484.744034563485,0.38,Fault1,589.89
487.01942467476084,0.381,Fault1,589.89
488.1859900831379,0.382,Fault1,589.89
488.36814419483693,0.383,Fault1,589.89
488.6105281774164,0.384,Fault1,589.89
490.6836667976688,0.385,Fault1,589.89
491.7449049378713,0.386,Fault1,589.89
493.08130928450225,0.387,Fault1,589.89
493.1716152340754,0.388,Fault1,589.89
493.40574829261664,0.389,Fault1,589.89
494.2210342667818,0.39,Fault1,589.89
495.3941017709939,0.391,Fault1,589.89
495.4757467127405,0.392,Fault1,589.89
495.56573289202913,0.393,Fault1,589.89
496.6490242481336,0.394,Fault1,589.89
497.030480178776,0.395,Fault1,589.89
497.1386859292186,0.396,Fault1,589.89
498.8781176158847,0.397,Fault1,589.89
499.70015669194845,0.398,Fault1,589.89
499.83556672729264,0.399,Fault1,589.89
501.5509589212883,0.4,Fault1,589.89
502.96133108577953,0.401,Fault1,589.89
503.2490677949931,0.402,Fault1,589.89
504.17024539249235,0.403,Fault1,589.89
505.06699699077114,0.404,Fault1,589.89
506.7368563614321,0.405,Fault1,589.89
507.46699432179884,0.406,Fault1,589.89
510.26953294854826,0.407,Fault1,589.89
510.6010647581938,0.408,Fault1,589.89
510.6388750415335,0.409,Fault1,589.89
511.184271666508,0.41,Fault1,589.89
511.76405565924784,0.411,Fault1,589.89
511.8360795636019,0.412,Fault1,589.89
512.5347991600869,0.413,Fault1,589.89
513.3625562467784,0.414,Fault1,589.89
518.8513973678357,0.415,Fault1,589.89
519.5574313157891,0.416,Fault1,589.89
523.5164161757996,0.417,Fault1,589.89
523.6491195277487,0.418,Fault1,589.89
523.7248809098807,0.419,Fault1,589.89
523.8869373415143,0.42,Fault1,589.89
526.7170751839935,0.421,Fault1,589.89
528.549050401109,0.422,Fault1,589.89
528.9742355061007,0.423,Fault1,589.89
529.9515018820167,0.424,Fault1,589.89
530.7498610731781,0.425,Fault1,589.89
531.792246644446,0.426,Fault1,589.89
532.4332042639898,0.427,Fault1,589.89
532.7106617945811,0.428,Fault1,589.89
534.9279107724506,0.429,Fault1,589.89
535.2055467175395,0.43,Fault1,589.89
535.6017323877697,0.431,Fault1,589.89
535.6286017165899,0.432,Fault1,589.89
536.3588529505923,0.433,Fault1,589.89
537.0622034361398,0.434,Fault1,589.89
537.2408657538206,0.435,Fault1,589.89
537.3559635482435,0.436,Fault1,589.89
537.6252960309272,0.437,Fault1,589.89
537.8790130789172,0.438,Fault1,589.89
538.4374427352434,0.439,Fault1,589.89
538.7332732643328,0.44,Fault1,589.89
540.1237858558912,0.441,Fault1,589.89
540.7441534497276,0.442,Fault1,589.89
540.9831333066145,0.443,Fault1,589.89
541.4790670891958,0.444,Fault1,589.89
541.7079548888187,0.445,Fault1,589.89
543.0003542724104,0.446,Fault1,589.89
543.1619498061731,0.447,Fault1,589.89
543.9595769868367,0.448,Fault1,589.89
544.1538806935789,0.449,Fault1,589.89
544.5076973734833,0.45,Fault1,589.89
544.7097772582323,0.451,Fault1,589.89
545.6869122207237,0.452,Fault1,589.89
545.8755564559722,0.453,Fault1,589.89
545.9107090008895,0.454,Fault1,589.89
